id,context,headword,mangarrayi,english,translation,ref,speaker,category1,category2 ,contenttags,functiontags
233,,,jarrg bu-ni juya                                                                               ,cut     was (Past Cont) (he)  meat,He/she was cutting meat,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
234,,,"ja-murrma, jard la-judma marri-yu                                              ",Pres sick     send back  you mob/him  let  sleep,He's/she's sick send him/her home to sleep,MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving advice
235,,,jijga-bana yalala nga-ma malam-nganju                                      ,little   one    am happy I        body    my,I am a little bit happy,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
236,,,yalala ga-nga-ma                                                                           ,am happy Pres I ,I am happy,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
237,,,yulgmirn nga-jirray  marnday                                                        ,sugar        I/it      ate (Past) sweet,I ate sweet sugar,Mang Stories_Merlan_21  MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
238,,,layn-nganju mob nga-mayn                                                           , leg    my     broke Past  I/it   ,I broke my leg,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
239,,,layn-nganju mob nga-mayn   (slowed down )                                                        ,leg    my     broke Past  I/it  ,I broke my leg,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
240,,,nginyjag nga-ni na-school-an                                                      ,can't          I     be    school  at,I can't be at school / I shouldn't be at school,Mang Stories_Merlan_20  MR2-015-B,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
241,,,jarrg nga-buyag ngadburr-nganju                                                                                                    ,cut myself (Past) I     hand  my                                                 ,I cut my hand,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
242,,,dayi nga-yura-b                                                                                ,not   I       not sleep Past ,I didn't sleep,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
243,,,dayi nga-yura-b                                                                                ,not   I       not sleep Past ,I didn't sleep,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
244,,,na-mirnurr ga-ngan-bu-n na-barlanggan                                      ,Subj T cold  Pres it / me hit  Subj T new,I have a new cold (a cold hit me),Mang Stories_Merlan_15 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
245,,,jijga mawuj a-nya-ja                                                                      ,little   food  might you/it eat,I might eat a little something,MR2-003-B,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
246,,,jarrij nga-mayn          ,slipped (Past)  I,I slipped,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
247,,,ga-nga-murrma jamgarr-nganju nga-manbu-ni                              ,Pres I    sore        foot        my       I        run     was (past Cont)     ,I was running now my foot hurts,MR2-005_A 40:36,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
248,,,galiya nga-yinyi                                                                              ,long way  I  walked (Past),I went (walked) a long way,Mang Stories_Merlan_16 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
249,,,jijga mawuj a-nga-ja                                                                       ,little  food  will  I/it eat,I will eat a little something to eat,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving advice
250,,,ngugu a-nga-ja-wu       yaw ga-nga-ni       ,water  will (Future) I/it drink  rest Pres I,I will have a drink and have a rest,MR2-005-A,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
251,,,a-nga-wurrbarjin-gu    a-nga-ninga-n     ,will  I get better               might I come,I'll come back when I feel better.,Mang Stories_Merlan_14 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
252,,,ga-nga-gar’garma                                                                           , Pres I    cough,I'm coughing ,Mang Stories_Merlan_15 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
253,,,jard ga-nga-jaygin barnam-garlama                                             ,go back Pres I           camp   to,I'm going back to camp ,Mang Stories_Merlan_20  MR2-015-B,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
254,,,jard ga-nga-jaygi-n mamaya ga-nga-yu                                       ,go back Pres I            first       Pres I sleep ,I'm going back to camp first to sleep,Mang Stories_Merlan_14 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
255,,,gurrwaran-garlama ga-nga-yag                                                    ,doctor             to       Pres I   go,I'm going to the doctor,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
256,,,yaw ga-nga-ni                                                                               ,rest Pres I ,I'm having a rest,MR2-005-A,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
257,,,ngadburr-nganju ga-nga-larrjmi-nyjiyi-n                                          ,hand          my      Pres  I/it     scratch self,I'm scratching my hand,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
258,,,ga-nga-larrjmi-nyjiyi-n lany-nganju       ,Pres I/it scratch    self        leg     my,I'm scratching my leg,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
259,,,miliyn-nganju ga-nga-larrjmi-nyjiyi-n,nose    my      Pres  I    scratch self,I'm scratching my nose,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
260,,,miliyn-nganju ga-nga larrjmi-nyjiyi-n                                           , nose     my     Pres  I/it    scratch   self,I'm scratching my nose,MR2-003-B,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
261,,,wardij ga-nga-murrma na-marnej-nganju na-mamayanggan-nganju wardij na-barlanggan,also   Pres  I      sick      with  same  my  with old                       my        also   with  new                   ,I'm sick again with the same old thing as ,Mang Stories_Merlan_16 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
262,,,ga-nga-girinyin barlalaga ,Pres I      tired      today,I'm tired today,MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
263,,,na-na lany-ngayawu                                                                      ,burn Past  (it) leg her,it burnt her leg (eg fire),MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
264,,,jarrg ngan-bu-b ngadburr-nganju                                                          ,cut    It /me     Past  hand   my,It cut my hand,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
265,,,morrmorr ya-ni                                                                               ,is dark     will (it),It is dark (bruise),MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
266,,,morrmorr ja-ma                                                                               ,get dark   Pres (it),It is getting dark (bruise) / it is darkening up,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
267,,,ngan-larrjmayn                                                                           , it/me  scratched (Past) ,It scratched me,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
268,,, ga-ngan-galgma jamgarr-nganju                                                  , Pres it / me  go into foot   my ,It went into my foot,MR2-005_A,,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
269,,,ngan-yala’yala-n                                                                             ,it / me  always bother Pres,It's bothering me,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
270,,,a-ngi-yag jorroy-wu                                                                      ,Let's you & I go bush medicine for,Let's (you and I) go for  bush medicine,,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
271,,,mangaya jirray bordewg mawuj                                                    ,maybe   ate Past (he/she)   bad  food,Maybe he/she ate bad food,Mang Stories_Merlan_18 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
272,,,bordewg mangaya nga-jirray                                                        , bad           maybe     I/it     ate (Past),Maybe I ate something bad,Mang Stories_Merlan_18 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
273,,,mamayanggan mangaya la-wu-na (mawuj)                                   ,old                     maybe   you mob / him  give Past (food) ,Maybe you gave him /her old (food),Mang Stories_Merlan_18 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
274,,,malam-ngangga mangaya bobob ga-nya-ma,body    your         maybe        hot  Pres  you,maybe your body is hot (fever),,,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
275,,,malam-ngangga mangaya bobob ga-nya-ma,  body  your        maybe     is hot     Pres you,maybe your body is hot (fever),,,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
276,,,ga-nga-dumduma jarlu-nganju                                                           ,Pres I       swell       ear my,My ear hurts / I've got a sore ear,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
277,,,ga-nga-dumduma jib-nganju                                                           ,Pres I       swell       eye my,My eye is swollen,Mang Stories_Merlan_17 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
278,,,yulgmirn-gana  ja-murrma  ngarla-gagag                                      , sugar       from  Pres (he) sick  Subject T (Female) granny,My granny is sick from sugar,Mang Stories_Merlan_21  MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
279,,,bab-nganju na-miyarr-nganju garrag-wa ga-nga-na-n                 ,head my     with forehead my  whole lot    Pres  I  burn,"my head, my forehead the whole lot is ",Mang Stories_Merlan_14 MR-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
280,,,mirn-nganju ga-nga-murrma      ,knee   my      Pres I    sore,My knee hurts / I've got a sore knee,Mang Stories_Merlan_16 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
281,,,     ja-warma’warma miliny-nganju                                                        ,Pres (it) really running  nose  my,my nose is really runny,Mang Stories_Merlan_15 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
282,,,ga-ngan-galma dab-nganju                                                            ,Pres it / me  itches  skin my,my skin is itchy,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
283,,,  ngurlg mamayanggan        , animal fat     old,old fat,Mang Stories_Merlan_18 MR2-015-A,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
284,,,garlugu  na-gurrajnyin lurlurl’ bu-yag                                                                 , poor thing  with  blood       pile up     self (Past)  (it)   ,poor fella he/she bruised up (with blood),MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
285,,, garlugu ngadburr-awu jarrg bu-yag                                                   ,poor thing  hand       his     cut     self (Past) (he/it),Poor thing. he cut his hand,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
286,,,yesterday       and    her burn Past (he/it) Pres (he/it) has sore  her,na-gurrajnyin lurlurl’ bu-yag                                                                 ,she has a sore,,,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
287,,,ngarla wanggij-ji                                                                              ,she      child   with,She's pregnant (with child),MR2-005_A,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
288,,,na-jagina  ga-ngan-daya jarlu-nganju                                            ,Subj T what Pres it / me  bite  ear  my,Something is hurting (biting) my ear ,Mang Stories_Merlan_19 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
289,,,dibdirib-ji                                                                                        ,sores    having  ,the ones with sores ,MR2-014-A,,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
290,,,nginyjag wurla-ja                                                                          ,can't          they/it  drink,they can't eat it,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
291,,,ber’ ja-wurla-ma                                                                           ,cut  Pres they/it,They cut it,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
292,,,ngugu jaw ja-wurla-bu-n                                                             ,water   pour Pres they/it ,they pour water in,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
293,,,ja-wurla-bardnama na-barlarlbarlarl-an                                       ,Pres they/it     put                 billy              in,they put it in a billy,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
294,,,wub ja-wurla-war na-damayi-an                                                  ,throw on fire Pres they/it fire     on,they put it on the fire,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
295,,,wirriyn wurla-bu-ni            nga-jirray   marnday  ngugu                             ,stirred   they    was (Past Cont) I/it  ate (Past)  sweet water,They stirred it and I drank sweet water (a sugar drink),Mang Stories_Merlan_21  MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
296,,,wurla-ga-ni gayarra hospital-lama                                                ,they/him   take was (Past Cont)  west hospital  to ,They took her West (upriver) to hospital,Mang Stories_Merlan_21 MR2-015-B,,HEALTH AND BODY CARE,Sickness,,Saying what action you are going to take
297,,,ja-wurla-ba’ma dim-burnya ja-wurla-nidba                                 ,Pres they/it  wash  sore your  Pres they   have,they wash their sores,MR2-014-A,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
298,,,"ja-wurla-bu-yi-n,                                                                              ",Pres they hit self  ,they're fighting,MR2-014-B,,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
299,,,"ja-wurla-bu-yi-n, na-jaginanggu?                                                   ",Pres they hit self    why,"they're fighting, why?",MR2-014-B,,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
300,,,gurlag,,ti tree,,,HEALTH AND BODY CARE,Bush Medicine,,Saying what action you are going to take
301,,,marrb-nama                                                                                     ,tie up,tie it up / bandage it up,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving advice
302,,,will give he/you should you go  camp  to      should you sleep,marrb-nama                                                                                     ,to camp and you should sleep,,,HEALTH AND BODY CARE,Sickness,,Giving advice
303,,,also   Pres  I      sick      with  same  my  with old                       my        also   with  new                   ,mirn-nganju ga-nga-murrma      ,well as something new.,,,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
304,,,a-nyan-wu-n a-nya-yag barnam-garlama a-nya-yu                      ,will give he/you should you go  camp  to      should you sleep,When he has given it to you should go back ,Mang Stories_Merlan_22  MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Giving advice
305,,,na-damayi na-ni                                                                             ,with fire     burn was (Past Cont) (he) ,with fire (burnt himself),MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving explanation for sickness 
306,,,garlugu mulugmulug na-na jamgarr-ngayawu                             ,poor thing yesterday    burn Past (he/it)  foot     her,Yesterday she burnt her foot,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
307,,,mulugmulug na-na jamgarr-ngayawu                                            ,yesterday     burn Past (he/it) foot        her,Yesterday she burnt her foot,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
308,,,mulugmulug ngadburr-ngayawu na-na ja-nidba dib-ngayawu  ,yesterday       and    her burn Past (he/it) Pres (he/it) has sore  her,"Yesterday she burnt her hand, ",MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
309,,,mulugmulug na-na   lany-ngayawu                                                ,yesterday     burn Past (he/it) leg    her,Yesterday she burnt her leg,MR2-003-B,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
310,,,na-mirnurr ga-nyan-bu-n                                                                ,Subj T cold  Pres it / you hit,You have a cold (a cold hit you),Mang Stories_Merlan_22 MR2-015-B,Sheila Conway,HEALTH AND BODY CARE,Sickness,,Saying What's wrong
311,,,  jijga-ba  a-ngan-wu-n mawuj  ,little Emph could you/me give food,you should give me a little something to eat,,,HEALTH AND BODY CARE,Sickness,,Giving advice
312,,,bamburriyi ga-nya-jabulma                                                           ,better         Pres  you  smoke,You'd better have a smoke,MR2-005_A 40:37,Amy Dirn.gayg,HEALTH AND BODY CARE,Sickness,,Giving advice
